attribute_name,description,data_type,example_value,unit
practice_state,Two letter state abbreviation mapped from Census FIPS code.,string,MD,
female_25_29,Female population aged 25 to 29 from Census ACS B01001.,integer,159547,residents
female_30_34,Female population aged 30 to 34 from Census ACS B01001.,integer,171785,residents
female_35_39,Female population aged 35 to 39 from Census ACS B01001.,integer,166929,residents
female_40_44,Female population aged 40 to 44 from Census ACS B01001.,integer,171779,residents
female_25_44_pop,Total female population aged 25 to 44 summed across all four age bands.,integer,670040,residents
