practice_state,zip5,provider_count,unique_taxonomies,avg_provider_enum_year,recent_provider_growth
AR,72116,1,1,2026.0,1.0
AR,72117,1,0,2019.0,0.0
AR,72118,2,0,2026.0,2.0
AR,72120,1,0,2013.0,0.0
AR,72131,1,0,2019.0,0.0
AR,72143,9,1,2025.111111111111,7.0
AR,72149,1,0,2026.0,1.0
AR,72150,1,0,2024.0,1.0
AR,72160,1,0,2022.0,0.0
AR,72201,2,1,2024.5,2.0
AR,72202,2,0,2022.0,1.0
AR,72204,3,0,2012.6666666666667,1.0
AR,72205,23,1,2020.6521739130435,14.0
AR,72206,1,0,2026.0,1.0
AR,72209,8,1,2024.375,7.0
AR,72210,1,0,2026.0,1.0
AR,72211,1,0,2026.0,1.0
AR,72212,1,0,2025.0,1.0
AR,72227,3,0,2012.6666666666667,1.0
AR,72301,2,0,2014.5,0.0
AR,72342,2,0,2019.5,0.0
AR,72364,4,0,2026.0,4.0
AR,72401,16,1,2020.0,10.0
AR,72405,2,1,2026.0,2.0
AR,72450,6,1,2025.0,5.0
AR,72454,1,1,2019.0,0.0
AR,72472,1,0,2008.0,0.0
AR,72529,1,0,2018.0,0.0
AR,72543,1,0,2022.0,0.0
AR,72576,1,0,2011.0,0.0
AR,72601,4,1,2025.25,4.0
AR,72626,1,1,2025.0,1.0
AR,72653,2,1,2018.0,1.0
AR,72701,1,0,2022.0,0.0
AR,72703,13,2,2016.2307692307693,4.0
AR,72704,4,1,2026.0,4.0
AR,72712,5,0,2021.4,4.0
AR,72714,1,0,2022.0,0.0
AR,72715,1,0,2026.0,1.0
AR,72741,1,0,2026.0,1.0
AR,72751,1,0,2026.0,1.0
AR,72756,1,0,2026.0,1.0
AR,72758,6,1,2018.5,3.0
AR,72761,2,0,2025.5,2.0
AR,72762,2,0,2026.0,2.0
AR,72764,3,1,2025.6666666666667,3.0
AR,72774,1,0,2025.0,1.0
AR,72801,3,1,2025.3333333333333,3.0
AR,72830,5,2,2018.2,2.0
AR,72858,1,0,2012.0,0.0
AR,72901,6,1,2016.1666666666667,2.0
AR,72903,11,2,2019.4545454545455,7.0
AR,72916,7,0,2026.0,7.0
AR,72927,1,0,2026.0,1.0
AR,72940,1,1,2026.0,1.0
AR,72956,3,0,2025.3333333333333,3.0
AR,72958,1,0,2014.0,0.0
AZ,85003,1,1,2026.0,1.0
AZ,85004,6,1,2018.5,3.0
AZ,85006,4,0,2024.5,3.0
AZ,85008,6,0,2020.8333333333333,3.0
AZ,85009,3,1,2023.6666666666667,2.0
AZ,85012,10,1,2022.9,7.0
AZ,85013,4,0,2017.25,2.0
AZ,85014,4,1,2023.5,3.0
AZ,85015,4,0,2021.25,2.0
AZ,85016,24,2,2018.2083333333333,12.0
AZ,85017,2,2,2024.0,1.0
AZ,85018,7,1,2021.7142857142858,4.0
AZ,85020,5,1,2022.0,3.0
AZ,85022,3,1,2025.6666666666667,3.0
AZ,85023,2,0,2026.0,2.0
AZ,85024,1,0,2020.0,0.0
AZ,85027,5,0,2025.8,5.0
AZ,85028,7,1,2017.2857142857142,3.0
AZ,85029,2,0,2019.0,0.0
AZ,85031,1,0,2026.0,1.0
AZ,85032,7,2,2020.142857142857,4.0
AZ,85034,1,0,2026.0,1.0
AZ,85035,1,0,2026.0,1.0
AZ,85037,9,1,2017.4444444444443,4.0
AZ,85041,2,1,2025.0,2.0
AZ,85042,2,0,2015.5,1.0
AZ,85044,6,0,2020.8333333333333,4.0
AZ,85050,1,0,2026.0,1.0
AZ,85051,6,1,2024.6666666666667,4.0
AZ,85054,2,0,2026.0,2.0
AZ,85060,1,0,2026.0,1.0
AZ,85083,1,0,2026.0,1.0
AZ,85085,2,1,2026.0,2.0
AZ,85086,3,2,2025.0,3.0
AZ,85120,1,0,2026.0,1.0
AZ,85122,4,0,2020.25,2.0
AZ,85123,1,1,2026.0,1.0
AZ,85128,1,1,2024.0,1.0
AZ,85131,1,0,2016.0,0.0
AZ,85138,2,1,2023.5,1.0
AZ,85140,1,1,2026.0,1.0
AZ,85142,1,0,2024.0,1.0
AZ,85143,1,0,2024.0,1.0
AZ,85144,1,0,2022.0,0.0
AZ,85194,1,0,2026.0,1.0
AZ,85201,4,0,2019.0,2.0
AZ,85202,5,0,2023.4,3.0
AZ,85203,2,0,2020.0,0.0
AZ,85204,5,0,2022.0,4.0
AZ,85205,1,0,2019.0,0.0
AZ,85206,13,2,2024.5384615384614,10.0
AZ,85207,1,0,2005.0,0.0
AZ,85208,2,1,2023.0,1.0
AZ,85209,4,0,2023.0,2.0
AZ,85210,4,1,2022.0,2.0
AZ,85212,1,0,2026.0,1.0
AZ,85213,2,0,2021.5,1.0
AZ,85215,2,0,2023.0,1.0
AZ,85224,14,1,2023.357142857143,9.0
AZ,85225,5,1,2023.0,4.0
AZ,85226,4,1,2024.25,3.0
AZ,85233,5,2,2019.4,3.0
AZ,85234,5,1,2024.2,4.0
AZ,85248,4,1,2023.25,3.0
AZ,85251,7,2,2021.857142857143,5.0
AZ,85254,5,1,2022.6,2.0
AZ,85255,1,0,2025.0,1.0
AZ,85256,1,0,2024.0,1.0
AZ,85257,2,0,2022.0,1.0
AZ,85258,5,0,2019.0,1.0
AZ,85259,4,0,2021.75,2.0
AZ,85260,10,1,2019.4,5.0
AZ,85262,2,1,2016.5,1.0
AZ,85268,2,1,2026.0,2.0
AZ,85281,1,0,2026.0,1.0
AZ,85282,6,1,2017.6666666666667,2.0
AZ,85283,5,1,2015.8,2.0
AZ,85284,2,0,2025.0,2.0
AZ,85286,7,1,2019.5714285714287,4.0
AZ,85288,1,0,2026.0,1.0
AZ,85295,16,2,2018.3125,5.0
AZ,85296,5,1,2024.4,4.0
AZ,85297,2,0,2018.0,1.0
AZ,85298,1,0,2024.0,1.0
AZ,85301,1,0,2007.0,0.0
AZ,85303,1,0,2026.0,1.0
AZ,85304,1,0,2010.0,0.0
AZ,85306,9,1,2022.888888888889,7.0
AZ,85308,12,2,2025.4166666666667,11.0
AZ,85309,1,0,2017.0,0.0
AZ,85310,1,0,2026.0,1.0
AZ,85323,6,2,2024.8333333333333,5.0
AZ,85326,1,0,2026.0,1.0
AZ,85335,1,1,2025.0,1.0
AZ,85338,14,0,2025.2142857142858,12.0
AZ,85340,3,0,2023.6666666666667,2.0
AZ,85344,2,0,2010.0,0.0
AZ,85345,1,0,2024.0,1.0
AZ,85351,2,0,2006.0,0.0
AZ,85364,8,1,2021.125,4.0
AZ,85365,1,0,2026.0,1.0
AZ,85367,1,1,2007.0,0.0
AZ,85373,1,1,2026.0,1.0
AZ,85374,5,2,2024.4,4.0
AZ,85375,1,0,2024.0,1.0
AZ,85378,3,1,2021.0,1.0
AZ,85379,14,1,2025.2857142857142,13.0
AZ,85381,7,1,2016.7142857142858,2.0
AZ,85382,3,0,2015.6666666666667,1.0
AZ,85383,3,1,2026.0,3.0
AZ,85388,2,0,2026.0,2.0
AZ,85392,5,0,2022.2,4.0
AZ,85395,7,1,2023.857142857143,5.0
AZ,85396,2,1,2026.0,2.0
AZ,85501,1,0,2008.0,0.0
AZ,85541,1,1,2026.0,1.0
AZ,85607,1,0,2014.0,0.0
AZ,85615,1,0,2006.0,0.0
AZ,85621,1,0,2015.0,0.0
AZ,85622,2,1,2019.0,1.0
AZ,85635,6,0,2016.0,2.0
AZ,85641,1,0,2026.0,1.0
AZ,85643,1,1,2026.0,1.0
AZ,85653,1,0,2026.0,1.0
AZ,85701,1,1,2026.0,1.0
AZ,85704,1,0,2022.0,0.0
AZ,85705,2,1,2016.0,1.0
AZ,85710,7,1,2018.4285714285713,4.0
AZ,85711,3,1,2020.0,2.0
AZ,85712,6,0,2018.3333333333333,3.0
AZ,85713,1,0,2022.0,0.0
AZ,85714,1,0,2022.0,0.0
AZ,85715,2,1,2023.5,1.0
AZ,85716,2,0,2021.0,1.0
AZ,85718,6,2,2019.1666666666667,2.0
AZ,85719,11,0,2016.090909090909,1.0
AZ,85721,3,0,2021.3333333333333,0.0
AZ,85723,3,0,2006.6666666666667,0.0
AZ,85724,2,1,2026.0,2.0
AZ,85742,2,0,2026.0,2.0
AZ,85745,2,0,2017.5,0.0
AZ,85755,2,1,2026.0,2.0
AZ,85756,3,0,2025.6666666666667,3.0
AZ,85901,2,0,2019.0,0.0
AZ,85929,1,1,2026.0,1.0
AZ,85933,1,0,2012.0,0.0
AZ,85941,2,0,2014.5,0.0
AZ,86001,9,2,2021.7777777777778,5.0
AZ,86004,3,1,2017.3333333333333,1.0
AZ,86018,1,0,2007.0,0.0
AZ,86033,3,0,2005.6666666666667,0.0
AZ,86044,1,0,2006.0,0.0
AZ,86045,2,0,2008.5,0.0
AZ,86301,5,1,2018.6,2.0
AZ,86303,5,2,2020.2,0.0
AZ,86305,3,0,2016.0,0.0
AZ,86314,4,1,2020.25,2.0
AZ,86323,1,0,2019.0,0.0
AZ,86326,2,0,2023.5,1.0
AZ,86327,1,0,2026.0,1.0
AZ,86403,3,1,2020.3333333333333,1.0
AZ,86409,2,1,2012.0,0.0
AZ,86426,1,0,2025.0,1.0
AZ,86442,1,0,2026.0,1.0
AZ,86504,3,1,2012.0,0.0
BAJA CALIFORNIA SUR,23474,1,0,2026.0,1.0
BARCELONA,8830,1,0,2026.0,1.0
BELGIUM,7940,1,0,2026.0,1.0
BOLIVAR,0,1,0,2026.0,1.0
CA,70280,1,1,2026.0,1.0
CA,81401,1,0,2007.0,0.0
CA,90002,1,0,2024.0,1.0
CA,90003,3,0,2015.3333333333333,1.0
CA,90004,10,2,2021.2,5.0
CA,90005,2,1,2023.5,1.0
CA,90006,1,0,2022.0,0.0
CA,90007,3,0,2012.0,1.0
CA,90008,4,1,2024.5,3.0
CA,90010,12,0,2025.3333333333333,11.0
CA,90011,3,0,2024.6666666666667,3.0
CA,90012,3,0,2016.3333333333333,1.0
CA,90013,6,0,2023.3333333333333,5.0
CA,90014,3,0,2021.6666666666667,2.0
CA,90015,3,0,2023.3333333333333,2.0
CA,90017,85,2,2024.0470588235294,71.0
CA,90018,4,0,2014.75,1.0
CA,90019,3,0,2019.3333333333333,2.0
CA,90020,6,0,2019.5,2.0
CA,90022,3,0,2017.0,1.0
CA,90023,1,0,2025.0,1.0
CA,90024,8,1,2019.75,3.0
CA,90025,8,1,2021.5,6.0
CA,90026,5,1,2024.6,4.0
CA,90027,13,0,2022.2307692307693,6.0
CA,90028,4,1,2019.75,3.0
CA,90029,1,0,2023.0,1.0
CA,90031,3,0,2019.6666666666667,2.0
CA,90032,2,0,2016.0,1.0
CA,90033,11,0,2020.909090909091,6.0
CA,90034,5,0,2025.0,5.0
CA,90036,4,1,2025.25,4.0
CA,90037,1,0,2022.0,0.0
CA,90038,3,1,2025.6666666666667,3.0
CA,90039,2,0,2023.0,1.0
CA,90042,8,0,2020.375,4.0
CA,90043,16,0,2023.9375,14.0
CA,90044,2,0,2007.0,0.0
CA,90045,4,0,2017.5,2.0
CA,90046,3,0,2014.3333333333333,0.0
CA,90047,1,0,2007.0,0.0
CA,90048,9,1,2019.6666666666667,5.0
CA,90049,2,1,2026.0,2.0
CA,90057,7,0,2020.4285714285713,5.0
CA,90059,13,2,2020.6923076923076,7.0
CA,90061,1,0,2025.0,1.0
CA,90064,2,0,2021.5,1.0
CA,90065,2,1,2024.0,2.0
CA,90066,5,0,2025.4,5.0
CA,90067,2,2,2026.0,2.0
CA,90069,2,0,2024.0,1.0
CA,90071,4,0,2026.0,4.0
CA,90073,1,0,2022.0,0.0
CA,90089,9,0,2021.6666666666667,5.0
CA,90094,1,0,2026.0,1.0
CA,90095,9,0,2018.3333333333333,3.0
CA,90201,2,0,2024.0,1.0
CA,90210,3,0,2014.3333333333333,1.0
CA,90211,3,0,2026.0,3.0
CA,90212,2,1,2025.5,2.0
CA,90220,3,1,2025.0,3.0
CA,90221,1,0,2026.0,1.0
CA,90230,12,0,2022.8333333333333,9.0
CA,90232,7,0,2023.142857142857,6.0
CA,90240,1,1,2026.0,1.0
CA,90241,4,0,2019.25,2.0
CA,90242,4,0,2021.0,3.0
CA,90245,22,0,2025.1818181818182,20.0
CA,90248,20,1,2025.1,18.0
CA,90249,1,0,2025.0,1.0
CA,90250,4,0,2024.0,3.0
CA,90254,4,1,2020.75,2.0
CA,90255,4,1,2019.5,2.0
CA,90260,2,0,2026.0,2.0
CA,90262,3,0,2024.3333333333333,2.0
CA,90266,4,2,2015.5,1.0
CA,90274,3,0,2026.0,3.0
CA,90275,2,2,2025.5,2.0
CA,90277,4,0,2023.75,3.0
CA,90278,1,0,2026.0,1.0
CA,90280,1,0,2021.0,0.0
CA,90291,3,0,2024.0,2.0
CA,90292,2,0,2022.5,1.0
CA,90293,2,2,2025.5,2.0
CA,90301,10,0,2019.9,7.0
CA,90302,1,0,2026.0,1.0
CA,90304,1,1,2026.0,1.0
CA,90401,4,0,2022.5,2.0
CA,90403,3,0,2018.3333333333333,1.0
CA,90404,2,0,2016.0,1.0
CA,90405,9,1,2020.0,5.0
CA,90501,4,1,2017.5,2.0
CA,90502,5,0,2016.2,1.0
CA,90503,2,0,2024.5,1.0
CA,90504,3,0,2024.3333333333333,2.0
CA,90505,12,1,2024.0,8.0
CA,90509,1,0,2017.0,0.0
CA,90602,2,0,2011.0,0.0
CA,90604,1,0,2023.0,1.0
CA,90605,2,1,2025.5,2.0
CA,90606,2,0,2025.0,2.0
CA,90620,1,0,2008.0,0.0
CA,90621,1,0,2026.0,1.0
CA,90623,5,0,2022.0,4.0
CA,90630,2,1,2017.0,1.0
CA,90631,1,1,2026.0,1.0
CA,90638,1,1,2026.0,1.0
CA,90640,1,0,2021.0,0.0
CA,90650,8,1,2024.625,7.0
CA,90660,4,2,2021.25,2.0
CA,90670,4,0,2024.25,3.0
CA,90701,1,0,2025.0,1.0
CA,90703,2,1,2016.0,1.0
CA,90706,3,0,2025.0,3.0
CA,90712,3,0,2016.6666666666667,1.0
CA,90713,4,0,2026.0,4.0
CA,90717,1,0,2017.0,0.0
CA,90720,5,2,2021.0,2.0
CA,90723,3,0,2012.6666666666667,1.0
CA,90731,4,1,2015.25,1.0
CA,90740,1,0,2025.0,1.0
CA,90745,1,0,2026.0,1.0
CA,90746,3,1,2026.0,3.0
CA,90755,2,1,2020.0,1.0
CA,90802,8,1,2020.375,3.0
CA,90804,4,1,2018.0,1.0
CA,90805,6,1,2023.3333333333333,4.0
CA,90806,8,1,2018.75,4.0
CA,90807,10,1,2022.8,7.0
CA,90808,4,1,2024.75,4.0
CA,90813,5,2,2022.2,4.0
CA,90815,4,1,2022.5,3.0
CA,91001,1,1,2025.0,1.0
CA,91006,18,1,2025.111111111111,16.0
CA,91007,1,0,2020.0,0.0
CA,91010,3,0,2019.6666666666667,1.0
CA,91011,1,1,2023.0,1.0
CA,91016,94,0,2025.7659574468084,91.0
CA,91024,1,0,2020.0,0.0
CA,91030,9,0,2024.5555555555557,6.0
CA,91040,1,0,2026.0,1.0
CA,91042,3,0,2019.3333333333333,2.0
CA,91101,6,0,2017.1666666666667,1.0
CA,91103,2,0,2022.0,1.0
CA,91104,1,0,2026.0,1.0
CA,91105,10,1,2016.0,3.0
CA,91106,2,1,2024.5,2.0
CA,91107,6,0,2021.6666666666667,3.0
CA,91108,2,1,2026.0,2.0
CA,91188,1,0,2021.0,0.0
CA,91201,1,0,2026.0,1.0
CA,91202,4,1,2026.0,4.0
CA,91203,6,1,2022.6666666666667,5.0
CA,91204,3,1,2019.6666666666667,1.0
CA,91205,1,0,2013.0,0.0
CA,91206,6,0,2020.6666666666667,4.0
CA,91208,4,1,2021.5,2.0
CA,91210,1,1,2026.0,1.0
CA,91301,4,1,2015.25,1.0
CA,91302,3,2,2019.6666666666667,2.0
CA,91303,13,0,2025.7692307692307,13.0
CA,91306,1,0,2026.0,1.0
CA,91307,2,0,2026.0,2.0
CA,91311,3,1,2019.6666666666667,2.0
CA,91316,2,0,2026.0,2.0
CA,91320,1,1,2026.0,1.0
CA,91321,1,0,2025.0,1.0
CA,91324,2,0,2014.0,0.0
CA,91325,4,0,2016.5,0.0
CA,91326,1,0,2026.0,1.0
CA,91331,2,0,2026.0,2.0
CA,91335,3,0,2025.3333333333333,3.0
CA,91340,1,0,2026.0,1.0
CA,91342,10,2,2022.6,7.0
CA,91343,6,1,2022.8333333333333,5.0
CA,91344,5,0,2025.4,4.0
CA,91345,2,0,2020.5,1.0
CA,91350,1,0,2016.0,0.0
CA,91351,1,0,2021.0,0.0
CA,91354,3,0,2022.6666666666667,2.0
CA,91355,8,2,2018.0,3.0
CA,91356,4,0,2026.0,4.0
CA,91360,2,1,2012.5,0.0
CA,91361,11,1,2017.1818181818182,2.0
CA,91362,5,1,2025.4,5.0
CA,91364,6,1,2021.6666666666667,4.0
CA,91367,10,1,2020.8,5.0
CA,91381,1,1,2026.0,1.0
CA,91387,2,1,2021.0,1.0
CA,91390,1,0,2026.0,1.0
CA,91401,3,0,2025.6666666666667,3.0
CA,91403,13,1,2025.3846153846155,12.0
CA,91405,4,0,2020.25,2.0
CA,91406,8,1,2026.0,8.0
CA,91411,3,0,2022.0,1.0
CA,91423,3,0,2019.3333333333333,2.0
CA,91436,11,1,2025.4545454545455,10.0
CA,91501,7,0,2025.857142857143,7.0
CA,91504,3,0,2023.6666666666667,2.0
CA,91505,6,2,2021.3333333333333,2.0
CA,91506,3,1,2021.0,1.0
CA,91601,8,1,2022.25,4.0
CA,91602,2,0,2025.5,2.0
CA,91604,4,2,2025.75,4.0
CA,91605,2,0,2026.0,2.0
CA,91606,1,0,2015.0,0.0
CA,91607,3,0,2018.6666666666667,2.0
CA,91701,1,0,2026.0,1.0
CA,91702,5,1,2025.8,5.0
CA,91706,1,0,2026.0,1.0
CA,91709,4,1,2021.0,3.0
CA,91710,3,0,2026.0,3.0
CA,91711,3,1,2025.3333333333333,3.0
CA,91722,2,0,2014.0,0.0
CA,91723,8,0,2024.75,6.0
CA,91724,36,0,2024.888888888889,33.0
CA,91730,20,1,2024.45,17.0
CA,91731,5,1,2025.0,5.0
CA,91732,1,0,2026.0,1.0
CA,91733,1,0,2026.0,1.0
CA,91737,2,0,2008.0,0.0
CA,91739,1,0,2018.0,0.0
CA,91741,1,0,2020.0,0.0
CA,91744,3,1,2025.6666666666667,3.0
CA,91745,7,0,2024.4285714285713,5.0
CA,91748,3,0,2024.6666666666667,2.0
CA,91752,1,0,2020.0,0.0
CA,91754,5,0,2019.2,3.0
CA,91761,10,0,2025.0,9.0
CA,91762,2,0,2026.0,2.0
CA,91763,3,1,2025.6666666666667,3.0
CA,91764,10,0,2024.4,8.0
CA,91766,7,0,2022.4285714285713,4.0
CA,91767,5,2,2016.2,1.0
CA,91768,2,0,2018.0,1.0
CA,91770,2,0,2023.5,1.0
CA,91773,4,1,2023.75,3.0
CA,91775,1,0,2026.0,1.0
CA,91776,3,0,2017.0,1.0
CA,91780,9,1,2026.0,9.0
CA,91786,6,2,2022.0,5.0
CA,91789,1,1,2026.0,1.0
CA,91790,1,0,2017.0,0.0
CA,91791,6,0,2023.1666666666667,3.0
CA,91792,3,1,2026.0,3.0
CA,91801,3,1,2025.3333333333333,3.0
CA,91803,6,1,2026.0,6.0
CA,91901,2,0,2023.0,1.0
CA,91910,8,1,2022.625,5.0
CA,91911,5,1,2017.6,3.0
CA,91914,3,0,2026.0,3.0
CA,91917,2,0,2023.5,1.0
CA,91932,2,0,2023.0,1.0
CA,91933,1,0,2026.0,1.0
CA,91941,1,0,2008.0,0.0
CA,91942,3,0,2019.3333333333333,2.0
CA,91977,1,1,2026.0,1.0
CA,92008,7,0,2017.0,3.0
CA,92009,2,0,2026.0,2.0
CA,92011,4,0,2025.25,4.0
CA,92020,4,0,2023.75,3.0
CA,92024,3,1,2021.0,2.0
CA,92025,19,2,2020.3684210526317,9.0
CA,92026,2,0,2026.0,2.0
CA,92028,3,1,2017.3333333333333,1.0
CA,92029,4,1,2019.0,2.0
CA,92037,12,2,2021.0833333333333,8.0
CA,92054,6,0,2022.0,4.0
CA,92055,3,0,2017.6666666666667,1.0
CA,92056,6,0,2022.0,3.0
CA,92058,3,0,2026.0,3.0
CA,92064,5,1,2022.0,3.0
CA,92067,1,0,2026.0,1.0
CA,92069,3,0,2019.0,0.0
CA,92071,3,0,2025.6666666666667,3.0
CA,92075,2,0,2025.5,2.0
CA,92078,2,0,2026.0,2.0
CA,92081,3,1,2013.3333333333333,1.0
CA,92083,6,0,2024.8333333333333,5.0
CA,92084,4,0,2016.25,2.0
CA,92093,2,0,2026.0,2.0
CA,92101,22,2,2022.6818181818182,16.0
CA,92102,4,0,2023.0,3.0
CA,92103,38,2,2022.0526315789473,24.0
CA,92104,2,0,2024.0,2.0
CA,92105,5,0,2022.8,4.0
CA,92106,2,1,2026.0,2.0
CA,92108,19,1,2022.157894736842,13.0
CA,92110,7,1,2021.4285714285713,5.0
CA,92111,2,1,2026.0,2.0
