practice_state,zip5,provider_count,unique_taxonomies,avg_provider_enum_year,recent_provider_growth
AA,32542,1,0,2026.0,1.0
ABU DHABI,0,1,0,2026.0,1.0
AE,9126,2,0,2014.0,0.0
AE,9180,1,0,2021.0,0.0
AE,9461,1,0,2021.0,0.0
AE,92655,1,0,2026.0,1.0
AK,99501,3,1,2019.6666666666667,0.0
AK,99502,3,1,2017.0,1.0
AK,99503,6,0,2018.8333333333333,3.0
AK,99504,6,1,2022.0,4.0
AK,99506,5,0,2018.2,0.0
AK,99507,4,0,2023.25,3.0
AK,99508,24,1,2016.2083333333333,9.0
AK,99515,2,0,2017.0,0.0
AK,99517,1,1,2026.0,1.0
AK,99518,2,0,2020.5,1.0
AK,99559,1,0,2026.0,1.0
AK,99576,1,0,2023.0,1.0
AK,99577,6,0,2023.0,2.0
AK,99587,2,0,2012.5,0.0
AK,99611,3,0,2019.3333333333333,2.0
AK,99615,1,0,2016.0,0.0
AK,99623,1,0,2025.0,1.0
AK,99645,3,0,2026.0,3.0
AK,99654,12,2,2018.6666666666667,4.0
AK,99664,1,0,2026.0,1.0
AK,99669,2,0,2024.5,2.0
AK,99701,4,2,2021.25,3.0
AK,99703,2,0,2026.0,2.0
AK,99705,1,0,2009.0,0.0
AK,99709,3,0,2024.6666666666667,2.0
AK,99801,2,0,2013.0,0.0
AK,99840,1,0,2021.0,0.0
AK,99901,4,1,2023.75,3.0
AK,99926,2,0,2026.0,2.0
AL,35007,1,0,2006.0,0.0
AL,35022,1,0,2015.0,0.0
AL,35043,1,0,2024.0,1.0
AL,35045,1,0,2007.0,0.0
AL,35055,3,1,2018.0,1.0
AL,35058,1,0,2015.0,0.0
AL,35071,1,0,2026.0,1.0
AL,35094,2,0,2018.5,1.0
AL,35126,2,0,2020.0,1.0
AL,35150,1,0,2025.0,1.0
AL,35160,1,0,2006.0,0.0
AL,35173,1,0,2026.0,1.0
AL,35203,1,0,2020.0,0.0
AL,35205,2,1,2026.0,2.0
AL,35209,6,1,2022.6666666666667,3.0
AL,35210,1,0,2026.0,1.0
AL,35216,4,1,2024.5,3.0
AL,35222,4,1,2024.0,3.0
AL,35223,5,0,2017.4,2.0
AL,35229,1,0,2026.0,1.0
AL,35233,13,1,2020.2307692307693,7.0
AL,35235,3,0,2015.0,1.0
AL,35242,3,1,2024.6666666666667,2.0
AL,35243,2,1,2016.0,1.0
AL,35244,4,0,2024.25,3.0
AL,35249,1,0,2020.0,0.0
AL,35294,1,0,2026.0,1.0
AL,35401,1,1,2026.0,1.0
AL,35404,1,0,2005.0,0.0
AL,35405,2,0,2026.0,2.0
AL,35406,2,1,2020.5,1.0
AL,35476,1,0,2006.0,0.0
AL,35501,3,0,2020.0,2.0
AL,35549,1,0,2020.0,0.0
AL,35565,4,0,2018.0,1.0
AL,35578,1,0,2015.0,0.0
AL,35585,1,0,2022.0,0.0
AL,35601,3,0,2019.6666666666667,2.0
AL,35603,3,0,2017.6666666666667,1.0
AL,35611,2,0,2023.0,1.0
AL,35630,3,0,2025.6666666666667,3.0
AL,35661,1,0,2026.0,1.0
AL,35674,3,0,2022.0,2.0
AL,35757,1,0,2026.0,1.0
AL,35758,9,1,2019.4444444444443,3.0
AL,35761,3,1,2026.0,3.0
AL,35801,10,2,2018.4,5.0
AL,35802,2,1,2026.0,2.0
AL,35805,1,0,2026.0,1.0
AL,35806,1,0,2009.0,0.0
AL,35816,5,1,2016.0,0.0
AL,35901,3,0,2020.6666666666667,1.0
AL,35904,1,0,2006.0,0.0
AL,35950,4,1,2012.5,1.0
AL,35957,2,1,2021.5,1.0
AL,35967,3,2,2012.6666666666667,1.0
AL,35968,8,1,2017.25,0.0
AL,35976,2,0,2026.0,2.0
AL,36025,1,0,2026.0,1.0
AL,36049,1,1,2026.0,1.0
AL,36066,3,0,2023.0,2.0
AL,36079,1,0,2019.0,0.0
AL,36083,1,0,2026.0,1.0
AL,36104,1,0,2011.0,0.0
AL,36106,3,1,2024.3333333333333,2.0
AL,36109,1,0,2026.0,1.0
AL,36112,1,0,2018.0,0.0
AL,36116,1,0,2023.0,1.0
AL,36117,7,1,2024.5714285714287,6.0
AL,36207,1,0,2022.0,0.0
AL,36265,1,0,2024.0,1.0
AL,36266,3,1,2025.3333333333333,3.0
AL,36301,2,1,2021.5,1.0
AL,36303,6,1,2015.0,1.0
AL,36305,2,0,2026.0,2.0
AL,36330,5,1,2018.0,3.0
AL,36360,1,0,2021.0,0.0
AL,36451,1,0,2006.0,0.0
AL,36477,1,1,2026.0,1.0
AL,36502,1,1,2020.0,0.0
AL,36526,1,0,2026.0,1.0
AL,36532,3,1,2019.0,2.0
AL,36535,1,0,2026.0,1.0
AL,36542,1,0,2016.0,0.0
AL,36551,1,0,2026.0,1.0
AL,36575,1,1,2026.0,1.0
AL,36604,2,1,2016.0,1.0
AL,36605,2,1,2023.0,1.0
AL,36606,1,0,2013.0,0.0
AL,36617,3,0,2018.6666666666667,2.0
AL,36619,1,0,2026.0,1.0
AL,36693,3,0,2026.0,3.0
AL,36701,2,0,2026.0,2.0
AL,36801,4,0,2020.25,3.0
AL,36832,1,0,2016.0,0.0
AL,36849,1,0,2020.0,0.0
AL,36867,1,0,2026.0,1.0
AL,36874,1,0,2026.0,1.0
AL,36877,1,0,2025.0,1.0
ANTIOQUIA,5003,1,0,2024.0,1.0
AP,96271,1,0,2024.0,1.0
AP,96319,1,0,2023.0,1.0
AP,96328,1,0,2020.0,0.0
AP,96350,1,0,2022.0,0.0
AP,96362,1,0,2026.0,1.0
AP,96368,2,1,2013.5,0.0
AP,96661,1,0,2026.0,1.0
AR,71602,2,0,2019.5,0.0
AR,71603,2,0,2005.5,0.0
AR,71654,1,0,2006.0,0.0
AR,71657,1,0,2026.0,1.0
AR,71701,1,0,2026.0,1.0
AR,71730,1,0,2023.0,1.0
AR,71752,1,1,2024.0,1.0
AR,71801,2,0,2016.5,1.0
AR,71854,2,0,2026.0,2.0
AR,71901,1,0,2018.0,0.0
AR,71909,4,1,2026.0,4.0
AR,71913,4,1,2017.75,1.0
AR,71923,1,0,2026.0,1.0
AR,71943,1,0,2026.0,1.0
AR,71953,1,0,2016.0,0.0
AR,71956,1,0,2026.0,1.0
AR,71964,1,0,2026.0,1.0
AR,72002,1,0,2025.0,1.0
AR,72006,1,0,2013.0,0.0
AR,72015,4,2,2025.0,3.0
AR,72019,2,0,2025.0,2.0
AR,72022,5,1,2023.2,4.0
AR,72023,1,0,2022.0,0.0
AR,72029,8,0,2014.75,1.0
AR,72032,2,0,2024.0,1.0
AR,72034,4,1,2022.0,3.0
AR,72042,2,0,2012.5,0.0
AR,72065,1,0,2020.0,0.0
AR,72076,2,0,2024.5,2.0
AR,72086,1,0,2026.0,1.0
AR,72104,1,0,2026.0,1.0
AR,72112,2,0,2022.5,1.0
AR,72113,2,0,2023.0,1.0
AR,72114,4,0,2024.25,3.0
