CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
40900,"Sacramento-Roseville-Folsom, CA",06061,Placer County,California,"Sacramento-Roseville-Folsom, CA",".Sacramento-Roseville-Folsom, CA Metro Area",2463127.0
40900,"Sacramento-Roseville-Folsom, CA",06067,Sacramento County,California,"Sacramento-Roseville-Folsom, CA",".Sacramento-Roseville-Folsom, CA Metro Area",2463127.0
40900,"Sacramento-Roseville-Folsom, CA",06113,Yolo County,California,"Sacramento-Roseville-Folsom, CA",".Sacramento-Roseville-Folsom, CA Metro Area",2463127.0
40980,"Saginaw, MI",26145,Saginaw County,Michigan,"Saginaw, MI",".Saginaw, MI Metro Area",187714.0
41060,"St. Cloud, MN",27009,Benton County,Minnesota,"St. Cloud, MN",".St. Cloud, MN Metro Area",205878.0
41060,"St. Cloud, MN",27145,Stearns County,Minnesota,"St. Cloud, MN",".St. Cloud, MN Metro Area",205878.0
41100,"St. George, UT",49053,Washington County,Utah,"St. George, UT",".St. George, UT Metro Area",207943.0
41140,"St. Joseph, MO-KS",20043,Doniphan County,Kansas,"St. Joseph, MO-KS",".St. Joseph, MO-KS Metro Area",119124.0
41140,"St. Joseph, MO-KS",29003,Andrew County,Missouri,"St. Joseph, MO-KS",".St. Joseph, MO-KS Metro Area",119124.0
41140,"St. Joseph, MO-KS",29021,Buchanan County,Missouri,"St. Joseph, MO-KS",".St. Joseph, MO-KS Metro Area",119124.0
41140,"St. Joseph, MO-KS",29063,DeKalb County,Missouri,"St. Joseph, MO-KS",".St. Joseph, MO-KS Metro Area",119124.0
41180,"St. Louis, MO-IL",17005,Bond County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",17013,Calhoun County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",17027,Clinton County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",17083,Jersey County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",17117,Macoupin County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",17119,Madison County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",17133,Monroe County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",17163,St. Clair County,Illinois,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",29071,Franklin County,Missouri,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",29099,Jefferson County,Missouri,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",29113,Lincoln County,Missouri,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",29183,St. Charles County,Missouri,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",29189,St. Louis County,Missouri,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",29219,Warren County,Missouri,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41180,"St. Louis, MO-IL",29510,St. Louis city,Missouri,"St. Louis, MO-IL",".St. Louis, MO-IL Metro Area",2811927.0
41420,"Salem, OR",41047,Marion County,Oregon,"Salem, OR",".Salem, OR Metro Area",443416.0
41420,"Salem, OR",41053,Polk County,Oregon,"Salem, OR",".Salem, OR Metro Area",443416.0
41500,"Salinas, CA",06053,Monterey County,California,"Salinas, CA",".Salinas, CA Metro Area",436251.0
