CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
36260,"Ogden, UT",49057,Weber County,Utah,"Ogden, UT",".Ogden, UT Metro Area",667681.0
36420,"Oklahoma City, OK",40017,Canadian County,Oklahoma,"Oklahoma City, OK",".Oklahoma City, OK Metro Area",1497821.0
36420,"Oklahoma City, OK",40027,Cleveland County,Oklahoma,"Oklahoma City, OK",".Oklahoma City, OK Metro Area",1497821.0
36420,"Oklahoma City, OK",40051,Grady County,Oklahoma,"Oklahoma City, OK",".Oklahoma City, OK Metro Area",1497821.0
36420,"Oklahoma City, OK",40081,Lincoln County,Oklahoma,"Oklahoma City, OK",".Oklahoma City, OK Metro Area",1497821.0
36420,"Oklahoma City, OK",40083,Logan County,Oklahoma,"Oklahoma City, OK",".Oklahoma City, OK Metro Area",1497821.0
36420,"Oklahoma City, OK",40087,McClain County,Oklahoma,"Oklahoma City, OK",".Oklahoma City, OK Metro Area",1497821.0
36420,"Oklahoma City, OK",40109,Oklahoma County,Oklahoma,"Oklahoma City, OK",".Oklahoma City, OK Metro Area",1497821.0
36500,"Olympia-Lacey-Tumwater, WA",53067,Thurston County,Washington,"Olympia-Lacey-Tumwater, WA",".Olympia-Lacey-Tumwater, WA Metro Area",302912.0
36540,"Omaha, NE-IA",19085,Harrison County,Iowa,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36540,"Omaha, NE-IA",19129,Mills County,Iowa,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36540,"Omaha, NE-IA",19155,Pottawattamie County,Iowa,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36540,"Omaha, NE-IA",31025,Cass County,Nebraska,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36540,"Omaha, NE-IA",31055,Douglas County,Nebraska,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36540,"Omaha, NE-IA",31153,Sarpy County,Nebraska,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36540,"Omaha, NE-IA",31155,Saunders County,Nebraska,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36540,"Omaha, NE-IA",31177,Washington County,Nebraska,"Omaha, NE-IA",".Omaha, NE-IA Metro Area",1001010.0
36740,"Orlando-Kissimmee-Sanford, FL",12069,Lake County,Florida,"Orlando-Kissimmee-Sanford, FL",".Orlando-Kissimmee-Sanford, FL Metro Area",2940513.0
36740,"Orlando-Kissimmee-Sanford, FL",12095,Orange County,Florida,"Orlando-Kissimmee-Sanford, FL",".Orlando-Kissimmee-Sanford, FL Metro Area",2940513.0
36740,"Orlando-Kissimmee-Sanford, FL",12097,Osceola County,Florida,"Orlando-Kissimmee-Sanford, FL",".Orlando-Kissimmee-Sanford, FL Metro Area",2940513.0
36740,"Orlando-Kissimmee-Sanford, FL",12117,Seminole County,Florida,"Orlando-Kissimmee-Sanford, FL",".Orlando-Kissimmee-Sanford, FL Metro Area",2940513.0
36780,"Oshkosh-Neenah, WI",55139,Winnebago County,Wisconsin,"Oshkosh-Neenah, WI",".Oshkosh-Neenah, WI Metro Area",173307.0
36980,"Owensboro, KY",21059,Daviess County,Kentucky,"Owensboro, KY",".Owensboro, KY Metro Area",113583.0
36980,"Owensboro, KY",21149,McLean County,Kentucky,"Owensboro, KY",".Owensboro, KY Metro Area",113583.0
37100,"Oxnard-Thousand Oaks-Ventura, CA",06111,Ventura County,California,"Oxnard-Thousand Oaks-Ventura, CA",".Oxnard-Thousand Oaks-Ventura, CA Metro Area",835427.0
37140,"Paducah, KY-IL",17127,Massac County,Illinois,"Paducah, KY-IL",".Paducah, KY-IL Metro Area",102395.0
37140,"Paducah, KY-IL",21007,Ballard County,Kentucky,"Paducah, KY-IL",".Paducah, KY-IL Metro Area",102395.0
37140,"Paducah, KY-IL",21039,Carlisle County,Kentucky,"Paducah, KY-IL",".Paducah, KY-IL Metro Area",102395.0
37140,"Paducah, KY-IL",21139,Livingston County,Kentucky,"Paducah, KY-IL",".Paducah, KY-IL Metro Area",102395.0
37140,"Paducah, KY-IL",21145,McCracken County,Kentucky,"Paducah, KY-IL",".Paducah, KY-IL Metro Area",102395.0
37340,"Palm Bay-Melbourne-Titusville, FL",12009,Brevard County,Florida,"Palm Bay-Melbourne-Titusville, FL",".Palm Bay-Melbourne-Titusville, FL Metro Area",658447.0
37460,"Panama City-Panama City Beach, FL",12005,Bay County,Florida,"Panama City-Panama City Beach, FL",".Panama City-Panama City Beach, FL Metro Area",226221.0
37460,"Panama City-Panama City Beach, FL",12133,Washington County,Florida,"Panama City-Panama City Beach, FL",".Panama City-Panama City Beach, FL Metro Area",226221.0
37620,"Parkersburg-Vienna, WV",54105,Wirt County,West Virginia,"Parkersburg-Vienna, WV",".Parkersburg-Vienna, WV Metro Area",87681.0
37620,"Parkersburg-Vienna, WV",54107,Wood County,West Virginia,"Parkersburg-Vienna, WV",".Parkersburg-Vienna, WV Metro Area",87681.0
37860,"Pensacola-Ferry Pass-Brent, FL",12033,Escambia County,Florida,"Pensacola-Ferry Pass-Brent, FL",".Pensacola-Ferry Pass-Brent, FL Metro Area",538928.0
37860,"Pensacola-Ferry Pass-Brent, FL",12113,Santa Rosa County,Florida,"Pensacola-Ferry Pass-Brent, FL",".Pensacola-Ferry Pass-Brent, FL Metro Area",538928.0
37900,"Peoria, IL",17123,Marshall County,Illinois,"Peoria, IL",".Peoria, IL Metro Area",364565.0
37900,"Peoria, IL",17143,Peoria County,Illinois,"Peoria, IL",".Peoria, IL Metro Area",364565.0
37900,"Peoria, IL",17175,Stark County,Illinois,"Peoria, IL",".Peoria, IL Metro Area",364565.0
37900,"Peoria, IL",17179,Tazewell County,Illinois,"Peoria, IL",".Peoria, IL Metro Area",364565.0
37900,"Peoria, IL",17203,Woodford County,Illinois,"Peoria, IL",".Peoria, IL Metro Area",364565.0
