risk_tier,county_count,total_population,avg_density,avg_providers,median_density
access_desert,1038,14529192,0.0,0.0,0.0
critical,154,6620090,3.7072402597402596,1.525974025974026,3.9132499999999997
underserved,314,11329729,7.402143949044587,2.7229299363057327,7.314349999999999
adequate,594,52555233,14.804311279461277,13.808080808080808,14.796949999999999
well_served,1044,246063349,37.64774310344827,84.066091954023,30.8722
