practice_state,state_name,provider_count,taxonomy_diversity,avg_provider_enum_year,recent_provider_growth,metro_population,providers_per_100k,predicted_provider_density,residual
AK,Alaska,2,0.5,2022.5,1.0,909377.0,0.2199307877810852,0.06384205471861559,0.15608873306246962
AL,Alabama,2,0.5,2023.0,1.0,14838177.0,0.0134787447271993,0.058065522462080965,-0.044586777734881664
AR,Arkansas,3,0.0,2009.5,0.0,8904792.0,0.0336897257117291,0.09394667070995899,-0.06025694499822989
AZ,Arizona,9,0.125,2019.5625,3.0,12423801.0,0.0724415981872214,0.0580645091467602,0.0143770890404612
CA,California,27,0.2692307692307692,2013.2692307692307,5.0,85615154.0,0.031536473087463,0.016301159192996018,0.01523531389446698
CO,Colorado,9,0.2222222222222222,2014.0,3.0,33485955.0,0.0268769398991308,0.0519013478034025,-0.025024407904271698
CT,Connecticut,1,0.0,2018.0,0.0,5604994.0,0.0178412323010515,0.08793054800081701,-0.07008931569976551
DE,Delaware,1,0.0,2025.0,1.0,6523112.0,0.0153301062437683,0.07416192605834548,-0.058831819814577184
FL,Florida,21,0.0555555555555555,2017.2314814814813,7.0,66955576.0,0.0313640793710743,0.011480981900368503,0.019883097470705796
GA,Georgia,8,0.1428571428571428,2018.428571428571,3.0,198940717.0,0.0040212984655122,-0.013101140123752408,0.01712243858926461
HI,Hawaii,2,0.0,2013.5,0.0,1326285.0,0.1507971514418092,0.09342917192278888,0.05736797951902031
IA,Iowa,4,0.25,2008.0,0.0,10123695.0,0.0395112654026025,0.08745520612999513,-0.04794394072739264
ID,Idaho,1,0.0,2026.0,1.0,5494042.0,0.0182015354087209,0.073700211469367,-0.05549867606064611
IL,Illinois,11,0.4444444444444444,2013.111111111111,2.0,112535482.0,0.0097746948824549,0.023232668403123657,-0.013457973520668758
IN,Indiana,10,0.25,2012.875,1.0,79092419.0,0.0126434367875383,0.04937859568370406,-0.036735158896165764
KS,Kansas,1,0.0,2023.0,0.0,15928923.0,0.0062778883418546,0.07968237777931253,-0.07340448943745793
KY,Kentucky,6,0.0,2011.0,1.0,34306653.0,0.017489319054237,0.07548985477744385,-0.058000535723206854
LA,Louisiana,5,0.6,2011.8,0.0,21147228.0,0.0236437607803727,0.06973442693072873,-0.046090666150356036
MA,Massachusetts,5,0.0,2011.8,0.0,28700580.0,0.0174212507203687,0.0843751379467288,-0.06695388722636009
MD,Maryland,2,0.0,2017.5,1.0,53086745.0,0.003767418778454,0.06270959340466686,-0.058942174626212866
ME,Maine,18,0.0,2012.6166666666668,0.0,1986714.0,0.906018682105225,0.09393246588189141,0.8120862162233335
MI,Michigan,7,0.1666666666666666,2013.25,2.0,36884856.0,0.0189779783876613,0.060281328870791295,-0.04130335048313
MN,Minnesota,3,0.3333333333333333,2011.3333333333333,0.0,51813122.0,0.0057900390561294,0.06615573862024515,-0.06036569956411575
MO,Missouri,13,0.5,2014.3125,3.0,44684303.0,0.0290929904400657,0.039213071017199175,-0.010120080577133476
MS,Mississippi,2,0.0,2011.5,0.0,13723046.0,0.0145740238719596,0.0903829755522294,-0.0758089516802698
MT,Montana,2,0.5,2016.5,0.0,1334787.0,0.149836640602583,0.07623797736368765,0.07359866323889536
NC,North Carolina,16,0.0769230769230769,2016.7051282051284,4.0,47634083.0,0.033589394383849,0.04098072281833254,-0.007391328434483535
NE,Nebraska,1,1.0,2025.0,1.0,6084130.0,0.0164362036971596,0.04509564069598726,-0.02865943699882766
NH,New Hampshire,1,0.0,2014.0,0.0,10481496.0,0.0095406228271231,0.08948551088307477,-0.07994488805595167
NJ,New Jersey,7,0.1666666666666666,2019.75,3.0,266785188.0,0.0026238338239377,-0.040979076501578504,0.043602910325516206
NM,New Mexico,3,0.3333333333333333,2014.0,1.0,4213160.0,0.0712054609841544,0.07472912022007905,-0.0035236592359246532
NV,Nevada,5,0.5,2011.0,0.0,4182349.0,0.11955004233267,0.07985722948951612,0.039692812843153874
NY,New York,10,0.1111111111111111,2015.888888888889,2.0,216762520.0,0.004613343672144,-0.009421589586668055,0.014034933258812055
OH,Ohio,7,0.0,2018.5,2.0,55329272.0,0.0126515310015284,0.053573473267793936,-0.04092194226626554
OR,Oregon,6,0.4,2020.0,1.0,15292949.0,0.0392337671432762,0.06338490304646638,-0.02415113590319018
PA,Pennsylvania,10,0.4,2017.6,4.0,59996146.0,0.0166677372909919,0.02602231411092526,-0.00935457681993336
RI,Rhode Island,2,0.0,2013.0,0.0,8504505.0,0.0235169477823812,0.09110143516268754,-0.06758448738030634
SC,South Carolina,6,0.6,2014.2,2.0,23927097.0,0.0250761720069927,0.0517741760468069,-0.026698004039814198
TN,Tennessee,7,0.1666666666666666,2014.75,2.0,47725729.0,0.0146671410718524,0.05483360247746827,-0.04016646140561587
TX,Texas,19,0.1111111111111111,2013.3055555555557,2.0,221194167.0,0.0085897382637581,-0.00890967245788099,0.01749941072163909
UT,Utah,5,0.6,2021.8,3.0,6494697.0,0.0769858855617128,0.04453733201320853,0.032448553548504275
VA,Virginia,12,0.4166666666666667,2020.9166666666667,6.0,166804978.0,0.0071940299047909,-0.03315366559217314,0.04034769549696404
VT,Vermont,1,0.0,2021.0,0.0,688335.0,0.1452780986002455,0.08724784099891125,0.058030257601334234
WA,Washington,4,0.25,2019.25,2.0,21067081.0,0.018986968341746,0.05877747553363455,-0.03979050719188855
WI,Wisconsin,5,0.0,2014.4,1.0,20189722.0,0.0247650760124384,0.07799695702582099,-0.05323188101338259
WV,West Virginia,1,0.0,2006.0,0.0,10095388.0,0.0099055132898309,0.09648845855394184,-0.08658294526411094
