practice_state,state_name,providers_per_100k,predicted_provider_density,residual,abs_error
DE,Delaware,5.304216760343836,17.534004223080956,-12.22978746273712,12.22978746273712
WV,West Virginia,4.318803794366299,15.994401830612333,-11.675598036246033,11.675598036246033
KY,Kentucky,3.2646728901242565,14.469683461030854,-11.205010570906598,11.205010570906598
NH,New Hampshire,5.352289406016088,16.32641306717369,-10.974123661157602,10.974123661157602
RI,Rhode Island,5.067902247103153,15.89433678135856,-10.826434534255409,10.826434534255409
MS,Mississippi,4.721983734514917,15.128751928627937,-10.406768194113017,10.406768194113017
OK,Oklahoma,5.002162093789076,14.673228022499188,-9.671065928710112,9.671065928710112
AR,Arkansas,6.95131340518678,16.553543496975635,-9.602230091788854,9.602230091788854
KS,Kansas,4.381966062614528,13.965861811846937,-9.583895749232408,9.583895749232408
IN,Indiana,2.239152655073048,11.4140176156925,-9.174864960619452,9.174864960619452
LA,Louisiana,5.778535134723095,14.774765750027656,-8.99623061530456,8.99623061530456
IA,Iowa,7.309584099481465,15.325111763630504,-8.015527664149037,8.015527664149037
DC,District of Columbia,7.0069256701906895,14.867335681406075,-7.860410011215386,7.860410011215386
SC,South Carolina,6.185455761724875,13.614786030252162,-7.429330268527287,7.429330268527287
MN,Minnesota,3.4759534466963795,10.586931216068024,-7.110977769371644,7.110977769371644
MO,Missouri,4.093159962683092,11.180073784689284,-7.086913822006192,7.086913822006192
AL,Alabama,7.258304035596826,13.617402950895212,-6.359098915298386,6.359098915298386
WI,Wisconsin,7.419616773326547,13.175174296862224,-5.755557523535677,5.755557523535677
TN,Tennessee,4.1109901118535035,9.858900465362694,-5.747910353509191,5.747910353509191
NE,Nebraska,8.333155274459948,14.03131773477844,-5.698162460318493,5.698162460318493
SD,South Dakota,11.311121321788413,16.554884373114874,-5.243763051326461,5.243763051326461
OH,Ohio,6.148644066742826,10.50911147742272,-4.360467410679894,4.360467410679894
MA,Massachusetts,8.790763113498056,13.03008063724974,-4.239317523751684,4.239317523751684
ID,Idaho,9.355589200082562,13.50897944576718,-4.153390245684619,4.153390245684619
CO,Colorado,7.07759417343779,10.7966751801805,-3.7190810067427105,3.7190810067427105
OR,Oregon,10.619272973446783,14.050859930483512,-3.4315869570367283,3.4315869570367283
IL,Illinois,3.350943127430689,6.615931601227658,-3.2649884737969685,3.2649884737969685
NC,North Carolina,7.070567517800227,9.755817399732678,-2.6852498819324504,2.6852498819324504
MD,Maryland,4.438019321018834,6.6328175843245845,-2.19479826330575,2.19479826330575
PA,Pennsylvania,7.0021164359457355,8.532928495001215,-1.5308120590554797,1.5308120590554797
MI,Michigan,9.155519002161752,10.14289776044916,-0.9873787582874076,0.9873787582874076
ND,North Dakota,16.415357697524918,17.38985785796649,-0.974500160441572,0.974500160441572
WA,Washington,11.510849557183551,12.35123771110466,-0.8403881539211078,0.8403881539211078
VA,Virginia,1.5988731463397932,1.5331736225880377,0.0656995237517554,0.0656995237517554
GA,Georgia,1.6889453555151306,1.204797694856552,0.4841476606585786,0.4841476606585786
NV,Nevada,16.760915935040334,14.946741669672065,1.814174265368269,1.814174265368269
NM,New Mexico,18.537155009541532,16.50411039489063,2.033044614650901,2.033044614650901
NJ,New Jersey,1.1379942127821578,-1.6276804328108485,2.7656746455930064,2.7656746455930064
UT,Utah,15.551148883466002,12.64411636109071,2.9070325223752924,2.9070325223752924
AZ,Arizona,16.025691332306433,12.885996597834035,3.139694734472396,3.139694734472396
NY,New York,3.3082287472945047,-1.5431625549476848,4.85139130224219,4.85139130224219
FL,Florida,9.996180153838122,4.308927138631589,5.687253015206533,5.687253015206533
CT,Connecticut,24.33544085863428,17.033559666672772,7.301881191961506,7.301881191961506
CA,California,12.162566454064896,4.6360997249207685,7.526466729144127,7.526466729144127
TX,Texas,3.482912820210128,-5.3466304258299715,8.8295432460401,8.8295432460401
ME,Maine,25.72086369754278,16.25184818470325,9.46901551283953,9.46901551283953
MT,Montana,28.2442067535869,16.630222385094385,11.613984368492517,11.613984368492517
HI,Hawaii,37.77468643617322,15.312313062403971,22.46237337376925,22.46237337376925
AK,Alaska,40.90712652728186,14.650660969582075,26.256465557699784,26.256465557699784
VT,Vermont,45.18148866467636,16.37000927724148,28.81147938743488,28.81147938743488
WY,Wyoming,84.52575016603272,17.509451278778215,67.01629888725451,67.01629888725451
