risk_tier,state_count,avg_residual,avg_density,avg_supply_gap,avg_risk_score
high_risk,13,-10.017072883110428,5.130731381040556,10.017072883110428,86.27692307692307
moderate_risk,13,-5.4104274852145355,7.244586170410585,5.4104274852145355,60.776923076923076
adequate,12,-0.4429479200598521,8.222271359857055,1.0398429792283947,36.28333333333333
well_served,13,15.836375371456354,26.708945499623706,0.0,11.761538461538462
